total_rooms,population,median_income,median_house_value
3353,1571,5.273,315600
3707,1938,2.725,95300
1503,715,4.6371,234300
3212,1817,3.3793,92900
9148,4656,3.2447,142200
1814,849,3.1625,364300
1985,1337,4.1071,240900
1351,1427,4.4712,144000
2703,1383,4.5278,340400
2813,1385,2.2202,100000
21113,9842,4.2037,194600
2185,1108,2.2277,78000
1726,1293,4.3849,144100
2033,618,2.5685,80400
2852,1130,4.194,293900
1114,425,2.5625,175000
537,355,2.8571,250000
1191,1193,2.5185,138800
6912,3794,3.0608,168300
715,1394,3.3846,162500
1323,856,3.3594,202200
1274,1362,2.1793,107900
2077,1155,3.1361,84800
1374,709,1.7222,118500
1789,897,5.592,239900
1754,928,4.1417,270800
1628,500,6.083,424000
9664,3617,4.0581,162900
8466,7014,2.1437,113700
3361,1754,5.1098,162300
2201,622,5.0621,386500
568,622,1.8167,79500
2819,1718,3.5547,197600
2084,1077,3.1628,318400
1128,931,2.8,137500
4052,1950,4.0647,240600
3465,2292,3.3553,113500
2753,1592,2.7875,209000
2288,1079,4.5486,361000
3768,2320,2.7685,204500
2577,1172,3.8796,175500
1477,1514,2.5703,178600
2239,784,1.6038,194300
5759,3108,3.0927,140600
2083,1462,2.6439,69100
1776,992,2.8056,82800
2830,1204,6.1273,289600
1589,883,3.5313,187500
1934,2059,3.6765,163600
3243,1585,5.7133,166800
6445,3621,2.5841,112500
2735,1076,3.6154,155700
2473,1271,3.5524,89100
2721,1356,3.0299,73200
3084,1557,5.1582,194700
1484,927,3.6484,189600
2819,1508,4.6118,191700
3493,1481,2.3075,184200
2716,898,2.2536,201200
2306,828,6.1103,301600
2577,1232,2.6012,125600
2404,1531,2.995,124300
4893,3036,2.5212,110000
120,477,1.9125,47500
1504,1267,5.5145,219400
1269,494,3.9615,331300
2157,1009,1.5827,63000
3321,1346,2.4618,101300
4016,2166,3.1884,135400
2017,1024,4.4732,245600
1515,1345,2.375,175000
729,395,1.6875,132000
2697,1369,4.4699,367400
1465,646,4.712,289300
3886,1605,4.4213,182700
1923,2809,1.4191,55100
2053,1258,3.0139,154700
2581,2004,2.6159,182300
678,336,4.4,142500
3585,1511,3.1176,396300
1566,1056,3.5227,105400
4166,2082,4.4107,213400
2355,961,5.3955,282300
3481,1444,3.9,275700
5321,2932,5.8914,237600
914,394,4.6875,246200
3317,1794,1.1835,133300
3335,1500,3.7315,197900
727,467,3.7188,250000
1395,1478,2.5301,192900
1591,1290,1.564,81800
2650,1537,3.4432,106700
1379,750,5.5381,282000
2205,1138,2.8819,208600
2744,1411,4.2639,154200
4885,2175,3.4031,209500
4071,1900,3.2792,220500
976,511,3.6641,80800
5541,2214,5.5777,279300
2496,1062,5.5413,302100
1443,660,3.0125,184400
2739,1312,3.5833,322900
1659,679,5,357900
2389,1672,1.4423,88300
2088,960,4.3333,232900
1987,1095,4.3203,232800
3404,1694,2.9511,282300
2445,983,4.9286,180100
8106,1062,3.0434,137200
1550,638,3.6833,292500
1766,1117,2.0259,168800
1963,2052,1.9076,55800
2257,1418,4.5278,181800
2653,1087,2.3523,325000
2005,882,2.5104,120500
1902,1153,1.9375,112900
2746,1076,5.8635,348700
1406,850,2.3261,114600
1818,1426,3.2104,112500
1955,294,3.9583,126500
1323,684,3.2206,145800
1615,815,3.4609,238800
2349,809,5.552,283900
2840,2606,1.9429,76400
4401,1970,5.8239,247500
1636,1468,3.2219,114700
1989,1015,2.79,226000
3190,1614,3.8398,118200
2507,1232,5.529,241300
2710,1439,5,175200
1654,669,1.965,65400
4198,1943,3.9052,122100
2723,1326,2.3594,66000
3301,2000,1.8594,119200
3422,1763,5.2039,301300
1977,812,3.625,198000
4186,2447,4.9917,248100
1616,700,5.5105,232100
4120,2918,3.3107,69400
3333,1371,2.9083,122400
2340,1141,4.5729,337500
2006,825,3.2963,236100
2959,1125,4.2614,268800
1621,678,2.2437,54200
1080,507,4.5278,166900
4505,1917,4.0144,126600
2622,2778,2.9714,160300
1239,1524,2.0956,154700
3735,1504,5.6304,243100
1992,1006,2.8393,57000
2689,1888,2.2562,94800
3942,1894,5.2894,332800
2533,2011,2.1199,160400
1760,984,3.4167,198200
1141,434,3.9464,186900
2273,1088,2.2532,109400
3661,3816,2.5104,185000
2238,2247,1.6505,125000
859,455,2.3293,215900
3491,1920,2.2241,127300
1758,686,3.1691,259400
3249,2611,1.9423,87800
1493,1571,3.8864,158900
1438,794,1.975,138100
3440,1538,5.5368,325900
12045,5640,4.4375,353000
2242,2052,3.4464,113000
629,568,1.7321,84400
713,880,1.2065,103600
3127,1390,3.9537,172800
6072,4715,3.1353,121400
2433,1565,3.2344,234900
1717,868,3.6094,160700
2099,1845,1.4138,52500
919,724,3.4028,110500
3300,2181,3.016,161800
2256,1057,3.1204,110800
1664,907,2.7667,92900
1091,1418,2.1522,159400
1205,678,2.0182,98400
491,274,4.4286,238600
7353,3571,2.8097,130000
1513,1038,3.0469,82700
2073,1246,2.0417,117100
7290,3960,3.5968,106300
2072,1118,2.8043,262100
1518,831,5.097,188600
1560,709,4.3315,95800
909,646,2.9063,80000
39320,16305,4.9516,153700
8476,2711,2.1848,97900
3474,1679,2.7256,71900
1491,98,1.4205,90000
5178,2557,2.4079,111400
3034,1776,3.1349,230200
3050,1743,3.7413,105300
25,13,0.536,162500
1696,1481,2.0375,122500
4458,2392,4.5938,126500
2103,1167,3.0592,152800
2199,827,6.1349,500001
4487,2609,4.2788,148700
1499,1754,4.3164,143200
952,530,5.0864,175300
1427,693,5.7405,351600
1790,1035,4.0985,173100
1308,2175,3.0824,177400
1908,890,4.575,336000
1516,596,4.3362,159400
5024,1994,4.2237,262300
1897,915,4.1563,172600
3410,1739,5.0714,255600
1553,2271,1.7378,121900
2687,1521,1.7213,61600
4138,2442,4.7804,242000
2909,2614,2.1444,229000
1204,543,1.0278,154200
277,182,2.3958,175000
793,505,1.9667,93800
3404,1656,1.6977,91300
2017,931,5.7664,267500
2527,1344,4.0833,114400
1376,618,5.9771,431800
2038,2037,2.6447,200000
2364,1257,4.6167,273100
3183,1820,2.2321,71800
2033,989,3.2583,181400
789,295,3.7667,95000
1046,486,4.119,110900
3776,1877,5.1365,215000
3813,1513,2.0807,142600
2492,1109,4.3125,164400
598,312,2.625,164300
712,293,4.0119,119400
1305,1384,2.45,186800
1327,784,1.8793,60800
4801,1830,6.0762,487800
785,417,2.3289,58200
2974,1559,3.8825,136800
1542,1256,1.7167,100000
1353,1322,1.8185,97800
4953,1791,5.0346,205100
2131,1132,5.3508,409100
3390,1645,3.7051,253700
2038,1086,4.7375,289600
3842,2490,3.0559,120100
1025,854,2.2596,119400
1661,1201,4,178200
3757,546,3.75,121400
1345,731,4.2333,363300
1130,607,2.4597,93800
1971,917,6.0965,262300
6755,4205,3.9583,163200
15201,7132,5.6756,301800
2868,855,2.7846,91200
1715,1714,1.7132,108200
2827,972,3.2361,500001
2178,1192,2.3339,87100
2099,1500,4.8304,493200
1557,986,2.6613,77700
2372,1647,1.4719,88600
1891,932,4.2759,238000
1090,470,4.9432,118800
3156,2394,3.01,191900
1722,830,4.0536,189000
1128,450,3.3542,154600
1856,899,3.1505,270000
1709,632,1.7868,45500
1985,1085,3.4205,136700
4855,2519,3.0893,205600
1782,1003,2.5398,105700
1153,1043,1.0801,75000
1966,1118,3.8558,122700
1923,1142,4.575,326700
1321,749,1.655,90100
1286,972,0.9513,50400
1521,987,1.9013,86900
2707,1423,4.3235,116900
1802,945,3.4044,115300
896,843,3.5,183000
2813,1345,2.5847,145300
1901,1613,1.8828,44600
4050,2870,3.7366,121800
888,360,2.1944,211500
3845,3102,2.3658,164100
2835,1674,3.129,375000
4289,2707,1.3375,59600
1872,870,3.725,84700
1782,1517,3.3389,157900
1819,1336,3.4583,253200
2914,1500,4.9429,254800
1868,750,4.3833,307600
2264,1403,2.7083,99400
2250,2588,1.9719,134200
1777,4479,1.4653,310000
378,196,3.6806,219400
1208,535,2.3523,94700
2275,2189,1.7542,287500
3914,2147,2.9735,225000
1531,822,4.0469,127400
2225,1544,2.2442,166700
1444,597,3.1395,310000
2696,905,3.1146,373500
3053,1234,5.1637,500001
3185,2444,1.56,67600
2054,934,4.5368,219300
289,191,1.6833,113900
1175,1241,1.2273,98400
1300,688,3.1523,176700
1065,887,3.9375,270500
4133,2023,5.1616,275100
2695,1505,3.0877,329100
682,813,3.8125,138000
692,504,3.6897,101100
1485,867,2.5809,78300
2382,867,5.2598,371500
2928,1633,1.8385,67500
4292,1758,2.9405,340500
957,615,3.0263,162500
3008,1584,3.5465,213200
1546,833,2.8893,185400
2185,1143,1.9784,70700
1694,674,4.1797,486800
13796,6000,3.8776,124500
1084,893,1.6213,69500
1080,524,1.8432,327300
4055,2470,3.8586,136000
483,291,3.0833,256300
1220,1472,1.825,81500
2786,1114,5.8578,266300
1547,1700,2.5488,187500
1651,973,3.4583,240900
4874,5032,2.444,90000
2026,1142,4.392,187600
5743,2651,4.1163,172500
2337,983,3.7174,275000
1762,1132,5.9915,153200
3548,1476,3.7188,163400
1800,874,4.2083,251000
3106,1396,3.1736,122200
956,416,4.6429,223700
2708,988,5.5194,367000
4547,2269,3.7896,98100
1630,4402,1.9792,63000
2383,962,2.2578,263600
1444,2329,3.1691,159400
703,757,2.525,155500
1750,834,2.485,100600
1292,2081,0.9563,275000
1625,533,1.808,58500
1711,1092,1.0714,150000
2607,1401,2.6563,184100
1236,946,2.0536,50000
2159,1283,1.8939,83000
2791,1187,3.2589,103000
7065,3864,4.7472,148600
4572,2346,6.0667,245700
3568,1741,5.1529,259600
2215,1792,2.8375,166500
802,445,4.0446,196300
1052,793,1.6585,92900
2573,1568,3.0208,193700
1197,695,3.4375,157800
3575,1654,5.7409,274100
2969,1594,4.5221,168300
2941,1660,4.5667,271500
1548,815,2.9489,67500
574,321,3.9107,186500
2508,1549,3.2069,236500
4348,2347,4.7275,293000
1488,972,4.055,201900
3046,888,2.6848,74100
1665,721,4.6875,250700
1369,758,4.0341,156500
2702,1136,2.8941,256700
1497,894,3.3066,96300
1602,1553,2.0655,93400
1693,846,5.3683,339400
977,1073,1.0208,86400
9594,5237,5.9684,193300
3012,1288,3.6449,211500
3004,437,3.6667,90000
1395,736,5.6206,386400
992,694,2.5544,162500
1666,479,2.1406,55000
5584,2250,1.5823,72400
1214,504,2.7188,105700
4984,4828,1.6903,350000
1083,557,3.0795,218400
44,23,4.125,212500
4369,3123,2.0571,152300
1800,761,5.1265,196100
943,378,5.1765,344600
2819,1068,4.5461,270800
1523,636,3.0682,412500
1919,1326,4.2679,131900
1336,680,3.815,99000
4223,1747,5.419,267400
3852,1534,5.8596,318700
2460,1784,4.5662,175500
1473,1025,3.8333,170400
7962,2009,3.3897,230200
1869,1834,1.7052,107400
1325,873,2.5833,54400
1845,2191,2.3462,127300
2491,1098,3.075,213500
1252,878,4.2262,228500
786,288,3.5156,218900
806,446,4.5221,151300
882,1248,2.761,120000
264,310,1.4063,61500
3583,1792,5.4842,335300
2478,1346,3.212,70400
2879,1661,2.066,88100
1070,567,2.8603,189000
1301,1189,2.5139,190000
2014,839,4.7446,175400
2285,1211,4.0208,323100
2968,1176,5.0497,191700
1610,670,4.3594,349000
2677,1469,3.2048,261800
614,691,1.6953,81300
2679,1740,1.3679,70300
2655,1466,3.0529,265800
3913,2264,5.2446,258000
2110,1301,2.3173,86500
3724,2536,3.2649,202100
3612,1864,2.7069,153800
919,912,1.5903,165400
1633,837,3.0405,188000
1907,912,5.9567,294300
2989,1596,5.7157,231200
3564,1539,3.675,152400
2293,969,4.4536,184000
3688,1969,2.875,222900
1127,492,2.675,241700
1468,571,3.3906,124200
1616,187,3.7857,78600
14631,7517,1.6785,153100
874,572,1.6833,71000
5818,2324,4.4033,267600
1929,1683,5.5248,235600
2992,676,5.7613,500001
2365,1209,6.0132,259400
714,654,4.5052,170800
7241,4168,4.5714,260300
1991,1306,4.5,166600
411,193,2.5625,146900
2358,1157,3.3618,174600
2545,1548,2.9125,475000
1944,1992,2.066,127200
1729,737,3.5313,68800
3337,1646,5.0195,200200
1797,1033,1.4911,59200
1183,455,5.1071,314100
2507,1227,2.785,72300
1318,567,1.8692,93800
5137,4945,2.4599,181600
1507,931,5.1645,244900
2601,1702,2.08,56600
2027,1781,3.0806,142400
2796,4033,2.4886,160700
2806,2232,0.6775,350000
3536,2007,3,146700
2347,1259,3.4492,264300
1115,1369,3.5694,150500
2319,1125,5.551,266900
1242,1438,2.6607,169300
2867,978,3.1477,291200
3382,1314,3.8125,382100
1932,1053,5.1377,213300
2028,1727,2.8438,157600
2622,1022,3.7647,375000
1784,788,4.2917,189600
2428,1110,3.6719,229800
3920,2814,4.0616,148800
5736,3528,4.3958,130700
6075,2571,5.22,399400
459,276,2.375,198400
2146,2009,3.6583,177300
3596,2416,3.6897,169800
1287,806,3.875,321300
1507,1082,3.225,138200
3013,1361,4.5357,171200
1705,658,5.75,306300
2636,3412,2.8095,118300
2873,1094,1.8015,105100
6348,2559,3.2818,225000
1430,805,3.3462,307000
2532,1564,2.3359,92400
3725,1412,5.7476,248600
1695,719,3.9417,139100
2474,1130,2.8833,83000
1055,718,2.6354,187500
964,623,3.0917,88900
5321,1969,5.0102,340100
1221,682,3.65,155500
794,814,2.2917,112000
1276,799,2.7273,128600
865,537,1.9,110900
2130,1195,1.3631,45500
1578,827,4.8942,194100
2828,986,2.8871,94700
1297,610,1.9441,184400
1524,2030,2.1153,112500
1239,929,3.3625,153400
1072,363,6.1636,367700
1045,632,2.3583,95000
579,218,2.1458,104200
2609,1208,5.4527,227100
1830,922,4.1635,156400
2911,3559,1.9485,146300
2156,1023,2.7875,245000
2568,1696,2.9154,169200
1781,918,3.9286,262700
932,1147,2.7014,156700
2296,902,6.0298,289100
6850,4251,3.6989,93300
100,45,6.1359,212500
4787,2039,5.4063,440900
1635,1347,1.2745,92900
2289,1697,3.4773,226300
1649,1183,3.3625,223700
1908,1195,1.7929,82300
2406,1054,3.8846,215900
3670,1519,4.4081,435200
1627,735,3.6429,317100
4984,2414,2.2937,72300
2361,1472,2.0625,124500
2705,1198,3.7159,168900
1072,639,5.0275,179300
1921,811,2.75,175000
2267,980,3.6,307400
2105,781,2.213,87500
1814,963,4.4519,110500
5805,1919,3.5352,357800
3075,1368,4.6667,130100
2085,748,4.0536,262000
2370,1053,4.1429,380300
1248,1282,3.2031,147600
2657,2274,3.425,281700
5870,1917,5.1998,294100
3958,2456,5.1647,154700
2403,2103,2.7292,193800
1402,654,2.6205,318800
12902,6160,5.7653,325800
2225,2755,2.5547,150400
5180,1639,4.5,222200
2084,868,4.381,86300
4893,4749,1.2065,55600
707,417,2.5139,83400
1933,965,4.6477,142700
226,125,2.9,125000
3114,2959,3.1875,171700
1414,983,4.1767,156600
2142,1140,4.8438,346200
3861,2129,3.676,135000
1650,1124,3.1838,98600
1216,572,5.8418,240300
3426,1512,4.4911,227400
1540,1037,2.2132,138500
596,212,4.2813,81300
1431,1438,2.2756,221400
658,869,1.9338,89400
2160,1694,3.8581,163100
2283,1184,1.2227,76800
2147,1175,4.1974,179300
887,614,2.1528,75500
6854,4131,3.5878,222800
6121,4224,2.3496,68000
2664,1197,5.069,264200
2296,1376,3.7303,188500
1732,1120,4.1492,195700
3573,1540,3.5323,109800
2680,1728,2.535,74800
1547,773,2.9812,148800
2144,985,3.175,118500
5003,4145,2.1389,133400
2253,1382,4.2562,221600
1771,935,4.065,148200
1434,735,1.5,162500
2212,1903,1.9853,101100
1889,1321,3.2574,254400
1323,705,3.1968,151000
2290,1034,3.0104,204200
1784,1255,3.7054,169200
4476,2255,3.925,118500
2298,1246,2.212,132000
877,349,3.4167,339100
1432,862,2.2813,57600
979,546,1.186,67000
964,742,1.2625,43000
3613,2002,1.947,147500
1276,955,2.0096,155700
2584,1869,3.2841,167000
2403,1647,2.6066,80000
1963,1197,3.8929,211000
2027,1425,2.2917,330800
446,182,2.8958,135000
9975,7429,2.6689,192300
1705,2252,2.3421,154200
705,347,3.1912,149600
1215,862,3.7604,158700
865,811,3.8621,165300
2198,1100,4.1098,246600
967,481,5.6611,265600
11827,6640,2.4878,103800
2864,1480,2.9698,93400
1412,901,1.7067,118600
17377,7450,3.2154,259600
1700,930,3.675,213100
3689,1544,3.125,76100
1941,955,4.1339,396400
1276,1502,2.1766,205600
686,614,0.8106,83300
55,65,1.6591,112500
4770,3201,2.681,147700
2346,3842,3.0635,160000
2778,1092,5.2561,121300
2611,482,5.0622,174100
683,459,1.8162,70000
1750,754,2.9137,106000
2151,1047,3.1149,218800
3563,1479,5.9522,438400
3236,1610,4.7568,143500
962,999,3.375,126000
186,41,2.7,58800
10035,6912,2.0943,108300
2622,1027,2.9222,242600
4500,2456,4.5032,168900
1149,499,3.6587,154600
890,555,4.4821,271900
1283,576,3.3333,276800
1984,1099,4.5526,250200
1673,1434,2.0586,40900
1709,719,5.0463,456300
680,995,2.2607,165600
1856,863,4.5833,500001
2647,1254,4.2407,433800
2365,1197,3.7031,227800
2144,860,3.9464,315000
1853,772,2.2574,135800
1546,773,2.9803,115400
1016,465,3.0625,93800
2269,1239,2.0411,100000
1009,614,4.0074,200800
1470,811,2.4559,75600
1210,733,2.806,214600
1665,946,2.0978,155400
4101,2630,4.6607,199800
3044,1306,2.1771,213200
2937,1662,5.8792,255500
3208,1772,2.7434,218800
2678,1540,4.4954,202900
2518,931,5.8393,485300
1917,936,2.7391,140300
3464,2139,4.0668,137500
1827,1507,2.8942,129000
987,551,3.5865,112000
950,426,4.7237,220700
1543,777,4.0927,142600
1458,723,4.2098,174100
1724,934,6.0783,229200
1309,1330,3.4417,182500
4093,2228,5.2523,161300
1540,1079,1.8571,98700
1117,591,3.5909,353100
2246,1190,2.0294,70400
981,736,1.8,60400
3130,2472,2.32,93200
2373,1673,3.0685,181800
2220,894,4.2891,211700
48,13,2.375,71300
3380,2276,4.0727,214000
2216,918,5.5289,297700
918,417,4.2768,151300
2472,1048,4.7097,262100
1115,1742,2.7969,123800
1282,852,1.6354,49000
1141,563,2.3287,130700
621,257,1.7188,109400
1675,744,2.1579,450000
3546,1533,5.276,224500
2902,1652,5.6029,161800
2098,1090,4.45,96200
3544,3323,1.0219,258300
4145,3668,2.5444,275000
6296,3200,4.5357,188400
1013,436,5.1118,226900
815,775,2.2847,190000
3122,1733,3.8307,70600
1006,515,3.2386,112500
240,63,1.4688,53800
1697,1379,1.2746,129700
471,195,3.3333,208300
37,34,1.2,50000
1685,1290,3.4722,112500
2704,1611,2.0243,82300
1671,729,6.1023,450000
911,1005,2.8167,114000
1207,1008,3.3816,262500
1265,755,3.3472,69800
4380,2187,3.9018,182300
1839,752,4.2031,209600
182,71,1.0208,78600
3823,1830,4.2458,450000
8110,3613,6.0609,264900
2162,1208,2.5417,260900
6341,2697,4.8554,206700
1785,779,4.3056,228600
3111,1000,1.5982,140000
1287,1171,1.6118,138500
1869,831,6.148,243900
4863,3010,3.9508,104200
2715,1154,4.8021,290400
4609,2582,4.3429,173900
2384,2073,2.3062,158000
1731,810,5.0391,259800
3167,2098,2.4459,85800
626,572,1.5909,262500
2933,1077,6.1527,500001
2112,1011,4.2222,108900
1648,792,2.4,121500
2365,1053,5.5959,346200
1875,735,5.8659,433300
1984,1078,3.2969,229900
3204,1818,5.2596,171500
2459,1230,3.0978,137200
2347,1135,3.9722,161000
3379,1465,4.0547,236200
7011,4163,2.7659,77500
2131,2045,4,145700
1916,863,1.9274,122300
1819,2110,1.6027,97300
918,394,4.0069,214300
1481,1002,3.6196,163400
1795,1642,2.5363,86300
859,429,4.3098,197900
1321,396,3.1131,77100
1838,1628,1.6452,41500
4304,1960,3.3456,159800
688,575,3.55,111000
2186,908,4.575,225000
1541,880,2.5074,117700
1234,543,2.5156,71900
311,293,1.2902,67500
3153,1544,3.4491,133800
4780,1886,4.4674,500001
6955,3591,3.111,247600
2107,1138,4.4042,159100
5445,3220,1.7567,69500
1779,1061,3.0962,180900
1180,877,2.8125,97300
4769,2019,5.5798,338200
2424,1379,2.6786,184000
2084,1062,2.0057,198200
2952,1264,4.4209,274600
1814,1025,4.425,268400
1519,1262,3.3409,161200
2459,1139,4.0347,353600
2209,1034,4.7125,250900
2851,1287,5.0782,264100
797,484,2.625,191100
2487,1515,4.3039,168500
2280,976,2.71,97800
1446,1286,2.7083,103600
1761,911,2.0331,53200
1898,971,2.4735,89900
2579,1133,4.5577,123300
1521,706,4.4196,121000
1949,868,5.0151,285200
1358,766,1.0353,150000
1062,1058,1.5071,316700
5009,2497,4.25,146300
6422,2755,5.0165,202300
1463,940,2.3333,99800
3136,2013,3.335,69700
1264,783,3.3438,199600
1315,581,5.4024,253000
1070,1070,1.5642,51500
1440,743,5.0866,254600
1271,574,3.1304,340500
2594,3950,2.0348,177200
