"state","Pollster","Obama","McCain","middate","margin","days"
"AK","Rasmussen-1",43,48,2008-04-07,-5,211
"AK","SurveyUSA-3",43,48,2008-02-27,-5,251
"AK","Election 2004-1",35,62,2008-01-01,-27,308
"AZ","ARG-3",46,50,2008-10-29,-4,6
"AZ","Research 2000-3",47,48,2008-10-29,-1,6
"AZ","Mason-Dixon-2",44,48,2008-10-27,-4,8
"AZ","Rasmussen-1",46,51,2008-10-26,-5,9
"AZ","Opinion Research-6",46,53,2008-10-25,-7,10
"AZ","Arizona State U.-4",44,46,2008-10-24,-2,11
"AZ","Northern Arizona U.-10",41,49,2008-10-22,-8,13
"AZ","Zimmerman-4",42,44,2008-10-17,-2,18
"AZ","Rasmussen-1",38,59,2008-09-29,-21,36
"AZ","Arizona State U.-4",38,45,2008-09-26,-7,39
"AZ","ARG-4",39,56,2008-09-12,-17,53
"AZ","Arizona State U.-3",30,40,2008-08-15,-10,81
"AZ","Mason-Dixon-3",41,47,2008-08-14,-6,82
"AZ","Rasmussen-1",36,52,2008-07-30,-16,97
"AZ","Rasmussen-1",40,49,2008-06-25,-9,132
"AZ","Arizona State U.-2",28,38,2008-06-20,-10,137
"AZ","Rocky Mtn Poll-9",39,50,2008-05-16,-11,172
"AZ","Arizona State U.-4",38,47,2008-04-25,-9,193
"AZ","Rasmussen-1",37,57,2008-04-15,-20,203
"AZ","Northern Arizona U.-10",33,55,2008-04-03,-22,215
"AZ","SurveyUSA-3",39,51,2008-02-27,-12,251
"AZ","Arizona State U.-4",38,49,2008-02-22,-11,256
"AZ","Election 2004-1",45,55,2008-01-01,-10,308
"AR","ARG-4",44,51,2008-10-29,-7,6
"AR","Rasmussen-1",44,54,2008-10-27,-10,8
"AR","Research 2000-2",41,52,2008-10-21,-11,14
"AR","U. of Arkansas-21",36,51,2008-10-11,-15,24
"AR","Rasmussen-1",42,51,2008-09-22,-9,43
"AR","ARG-3",41,53,2008-09-21,-12,44
"AR","Rasmussen-1",37,47,2008-07-14,-10,113
"AR","Rasmussen-1",41,45,2008-06-16,-4,141
"AR","Rasmussen-1",39,48,2008-06-12,-9,145
"AR","Rasmussen-1",33,57,2008-05-12,-24,176
"AR","Rasmussen-1",30,59,2008-03-18,-29,231
"AR","Opinion Res.-6",27,43,2008-03-08,-16,241
"AR","SurveyUSA-3",33,53,2008-02-27,-20,251
"AR","Election 2004-1",45,54,2008-01-01,-9,308
"CA","SurveyUSA-3",60,36,2008-10-30,24,5
"CA","Rasmussen-1",61,34,2008-10-25,27,10
"CA","Field Poll-11",55,33,2008-10-23,22,12
"CA","SurveyUSA-2",59,35,2008-10-15,24,20
"CA","Public Policy Inst. of Calif.-8",56,33,2008-10-15,23,20
"CA","Rasmussen-1",56,40,2008-10-09,16,26
"CA","SurveyUSA-2",55,39,2008-10-04,16,31
"CA","SurveyUSA-2",53,43,2008-09-23,10,42
"CA","Rasmussen-1",56,39,2008-09-22,17,43
"CA","ARG-3",53,39,2008-09-19,14,46
"CA","Public Policy Inst. of Calif.-8",50,40,2008-09-12,10,53
"CA","Field Poll-10",52,36,2008-09-09,16,56
"CA","Rasmussen-1",51,37,2008-08-20,14,76
"CA","Pub. Policy Inst. of Calif.-8",48,39,2008-08-15,9,81
"CA","Rasmussen-1",50,38,2008-07-24,12,103
"CA","Pub. Policy Inst. of Calif.-15",50,35,2008-07-15,15,112
"CA","Field Poll-7",54,30,2008-07-11,24,116
"CA","Rasmussen-1",58,30,2008-06-23,28,134
"CA","SurveyUSA-3",53,41,2008-06-18,12,139
"CA","Field Poll-12",52,35,2008-05-21,17,167
"CA","LA Times-2",47,40,2008-05-20,7,168
"CA","Rasmussen-1",52,38,2008-05-20,14,168
"CA","SurveyUSA-3",49,41,2008-05-17,8,171
"CA","Rasmussen-1",50,43,2008-04-16,7,202
"CA","SurveyUSA-3",50,43,2008-04-12,7,206
"CA","SurveyUSA-3",54,40,2008-03-15,14,234
"CA","Public Policy Inst. of Calif.-8",49,40,2008-03-14,9,235
"CA","Rasmussen-1",53,38,2008-03-12,15,237
"CA","SurveyUSA-3",51,40,2008-02-27,11,251
"CA","SurveyUSA-3",61,34,2008-02-16,27,262
"CA","Election 2004-1",55,44,2008-01-01,11,308
"CO","ARG-3",52,45,2008-10-29,7,6
"CO","Mason-Dixon-2",49,44,2008-10-28,5,7
"CO","Marist Coll.-2",51,45,2008-10-27,6,8
"CO","Rasmussen-1",50,46,2008-10-26,4,9
"CO","Insider Advantage-1",53,45,2008-10-26,8,9
"CO","Opinion Research-6",53,45,2008-10-25,8,10
"CO","Financial Dynamics-5",48,44,2008-10-25,4,10
"CO","GfK Roper-5",50,41,2008-10-24,9,11
"CO","Public Opinion Strat.-3",52,40,2008-10-22,12,13
"CO","Insider Advantage-1",51,46,2008-10-20,5,15
"CO","Rasmussen-1",51,46,2008-10-19,5,16
"CO","Rasmussen-1",52,45,2008-10-16,7,19
"CO","Opinion Research-4",51,47,2008-10-12,4,23
"CO","Suffolk U.-4",47,43,2008-10-11,4,24
"CO","Quinnipiac U.-5",52,43,2008-10-10,9,25
"CO","Insider Advantage-1",51,45,2008-10-06,6,29
"CO","Rasmussen-1",51,45,2008-10-05,6,30
"CO","Mason-Dixon-3",44,44,2008-09-30,0,35
"CO","Rasmussen-1",49,48,2008-09-28,1,37
"CO","ARG-3",45,48,2008-09-24,-3,41
"CO","Insider Advantage-1",50,41,2008-09-23,9,42
"CO","Rasmussen-1",50,47,2008-09-23,3,42
"CO","Opinion Research-3",51,47,2008-09-22,4,43
"CO","Ciruli Assoc.-5",44,43,2008-09-21,1,44
"CO","Quinnipiac U.-8",49,45,2008-09-17,4,48
"CO","Insider Advantage-1",51,41,2008-09-17,10,48
"CO","Rasmussen-1",46,48,2008-09-14,-2,51
"CO","Financial Dynamics-5",45,44,2008-09-13,1,52
"CO","ARG-4",44,46,2008-09-11,-2,54
"CO","Insider Advantage-2",49,46,2008-09-09,3,56
"CO","Rasmussen-1",49,46,2008-09-07,3,58
"CO","Opinion Research-3",46,47,2008-08-25,-1,71
"CO","Suffolk U.-4",44,39,2008-08-22,5,74
"CO","Quinnipiac U.-7",46,47,2008-08-18,-1,78
"CO","Mason-Dixon-3",46,43,2008-08-14,3,82
"CO","Rasmussen-1",45,47,2008-08-13,-2,83
"CO","Rocky Mtn Poll-3",41,44,2008-08-12,-3,84
"CO","Rasmussen-1",49,42,2008-07-21,7,106
"CO","Quinnipiac U.-9",44,46,2008-07-18,-2,109
"CO","Quinnipiac U.-8",49,44,2008-06-20,5,137
"CO","Rasmussen-1",43,41,2008-06-17,2,140
"CO","Rasmussen-1",48,42,2008-05-19,6,169
"CO","Rasmussen-1",46,43,2008-04-16,3,202
"CO","Rasmussen-1",46,46,2008-03-17,0,232
"CO","SurveyUSA-3",50,41,2008-02-27,9,251
"CO","Election 2004-1",47,52,2008-01-01,-5,308
"CT","U. of Connecticut-5",56,31,2008-10-20,25,15
"CT","Rasmussen-1",56,39,2008-10-14,17,21
"CT","SurveyUSA-2",54,38,2008-09-24,16,41
"CT","Pulsar Research-5",49,35,2008-09-21,14,44
"CT","ARG-3",54,39,2008-09-18,15,47
"CT","Rasmussen-1",53,41,2008-09-16,12,49
"CT","Rasmussen-1",51,36,2008-07-31,15,96
"CT","Research 2000-3",57,35,2008-07-01,22,126
"CT","Rasmussen-1",52,35,2008-06-30,17,127
"CT","Quinnipiac U.-4",56,35,2008-06-27,21,130
"CT","Rasmussen-1",47,44,2008-05-29,3,159
"CT","Quinnipiac U.-6",52,35,2008-03-21,17,228
"CT","Rasmussen-1",50,38,2008-03-11,12,238
"CT","SurveyUSA-3",55,34,2008-02-27,21,251
"CT","Election 2004-1",54,44,2008-01-01,10,308
"DC","ARG-3",82,13,2008-09-12,69,53
"DC","Election 2004-1",90,9,2008-01-01,81,308
"DE","SurveyUSA-2",63,33,2008-10-27,30,8
"DE","Rasmussen-1",56,41,2008-10-10,15,25
"DE","West Chester U.-3",56,38,2008-10-07,18,28
"DE","SurveyUSA-2",57,37,2008-09-22,20,43
"DE","Fairleigh Dickinson U.-5",56,36,2008-09-19,20,46
"DE","ARG-3",51,40,2008-09-14,11,51
"DE","Rasmussen-1",55,43,2008-09-13,12,52
"DE","SurveyUSA-3",50,41,2008-02-27,9,251
"DE","Election 2004-1",53,46,2008-01-01,7,308
"FL","Zogby-4",48,46,2008-10-31,2,4
"FL","ARG-3",50,46,2008-10-30,4,5
"FL","Mason-Dixon-2",47,45,2008-10-29,2,6
"FL","Datamar-2",47,47,2008-10-29,0,6
"FL","Rasmussen-1",51,47,2008-10-26,4,9
"FL","LA Times-3",50,43,2008-10-26,7,9
"FL","Datamar-2",49,44,2008-10-25,5,10
"FL","Opinion Research-6",51,47,2008-10-25,4,10
"FL","Financial Dynamics-5",45,44,2008-10-25,1,10
"FL","Zogby-4",47,47,2008-10-24,0,11
"FL","Suffolk U.-4",49,44,2008-10-24,5,11
"FL","GfK Roper-5",45,43,2008-10-24,2,11
"FL","Quinnipiac U.-5",47,45,2008-10-24,2,11
"FL","Insider Advantage-1",48,47,2008-10-22,1,13
"FL","Polling Company-3",49,42,2008-10-21,7,14
"FL","Mason-Dixon-2",45,46,2008-10-20,-1,15
"FL","Rasmussen-1",48,49,2008-10-19,-1,16
"FL","Quinnipiac U.-6",49,44,2008-10-18,5,17
"FL","SurveyUSA-2",47,49,2008-10-16,-2,19
"FL","Research 2000-3",49,45,2008-10-14,4,21
"FL","Insider Advantage-1",48,44,2008-10-13,4,22
"FL","Datamar-2",47,42,2008-10-12,5,23
"FL","Opinion Research-4",51,46,2008-10-12,5,23
"FL","Rasmussen-1",51,46,2008-10-12,5,23
"FL","Rasmussen-1",50,47,2008-10-08,3,27
"FL","Research 2000-3",49,44,2008-10-07,5,28
"FL","Rasmussen-1",52,45,2008-10-05,7,30
"FL","Mason-Dixon-3",48,46,2008-10-05,2,30
"FL","Insider Advantage-1",49,46,2008-09-30,3,35
"FL","Opinion Research-3",51,47,2008-09-29,4,36
"FL","Suffolk U.-4",46,42,2008-09-28,4,37
"FL","Rasmussen-1",47,47,2008-09-28,0,37
"FL","Quinnipiac U.-3",51,43,2008-09-28,8,37
"FL","SurveyUSA-2",47,48,2008-09-27,-1,38
"FL","Rasmussen-1",47,48,2008-09-24,-1,41
"FL","ARG-3",47,46,2008-09-24,1,41
"FL","Rasmussen-1",46,51,2008-09-21,-5,44
"FL","Mason-Dixon-3",47,45,2008-09-17,2,48
"FL","SurveyUSA-2",45,51,2008-09-16,-6,49
"FL","Research 2000-4",45,46,2008-09-16,-1,49
"FL","Schroth/Polling Co.-4",45,47,2008-09-15,-2,50
"FL","ARG-4",46,46,2008-09-15,0,50
"FL","Opinion Research-3",48,48,2008-09-15,0,50
"FL","Rasmussen-1",44,49,2008-09-14,-5,51
"FL","Financial Dynamics-5",44,44,2008-09-13,0,52
"FL","Research 2000-7",45,46,2008-09-12,-1,53
"FL","Insider Advantage-2",42,50,2008-09-09,-8,56
"FL","Rasmussen-1",48,48,2008-09-07,0,58
"FL","Quinnipiac U.-5",43,50,2008-09-07,-7,58
"FL","Mason-Dixon-2",45,44,2008-08-25,1,71
"FL","Quinnipiac U.-8",43,47,2008-08-20,-4,76
"FL","ARG-3",46,47,2008-08-19,-1,77
"FL","Rasmussen-1",43,46,2008-08-18,-3,78
"FL","Insider Advantage-1",44,48,2008-08-11,-4,85
"FL","SurveyUSA-3",44,50,2008-08-02,-6,94
"FL","Quinnipiac U.-7",46,44,2008-07-26,2,101
"FL","Rasmussen-1",46,45,2008-07-22,1,105
"FL","ARG-3",45,47,2008-07-20,-2,107
"FL","Rasmussen-1",41,48,2008-06-26,-7,131
"FL","Rasmussen-1",39,47,2008-06-18,-8,139
"FL","ARG-5",49,44,2008-06-15,5,142
"FL","Quinnipiac U.-8",47,43,2008-06-12,4,145
"FL","Rasmussen-1",40,50,2008-05-19,-10,169
"FL","Quinnipiac U.-8",41,45,2008-05-16,-4,172
"FL","Quinnipiac U.-7",43,44,2008-04-26,-1,192
"FL","Rasmussen-1",38,53,2008-04-10,-15,208
"FL","Quinnipiac U.-8",37,46,2008-03-27,-9,222
"FL","Rasmussen-1",43,47,2008-03-12,-4,237
"FL","SurveyUSA-3",45,47,2008-02-27,-2,251
"FL","Rasmussen-1",37,53,2008-02-16,-16,262
"FL","Election 2004-1",47,52,2008-01-01,-5,308
"GA","Rasmussen-1",47,52,2008-10-30,-5,5
"GA","Research 2000-3",44,47,2008-10-29,-3,6
"GA","Insider Advantage-1",47,48,2008-10-27,-1,8
"GA","Opinion Research-6",47,52,2008-10-25,-5,10
"GA","Insider Advantage-1",48,47,2008-10-23,1,12
"GA","Mason-Dixon-2",43,49,2008-10-22,-6,13
"GA","Rasmussen-1",46,51,2008-10-22,-5,13
"GA","Research 2000-2",43,49,2008-10-14,-6,21
"GA","Opinion Research-4",45,53,2008-10-12,-8,23
"GA","SurveyUSA-2",43,51,2008-10-11,-8,24
"GA","Insider Advantage-1",46,49,2008-10-09,-3,26
"GA","Rasmussen-1",45,54,2008-10-07,-9,28
"GA","Insider Advantage-1",44,50,2008-09-30,-6,35
"GA","Research 2000-3",43,50,2008-09-30,-7,35
"GA","SurveyUSA-2",44,52,2008-09-28,-8,37
"GA","ARG-4",39,57,2008-09-19,-18,46
"GA","Insider Advantage-1",43,51,2008-09-17,-8,48
"GA","Rasmussen-1",43,54,2008-09-16,-11,49
"GA","SurveyUSA-3",41,57,2008-09-15,-16,50
"GA","Insider Advantage-1",38,56,2008-09-10,-18,55
"GA","Rasmussen-1",43,50,2008-08-14,-7,82
"GA","Rasmussen-1",39,48,2008-07-17,-9,110
"GA","Insider Advantage-1",44,46,2008-07-02,-2,125
"GA","Rasmussen-1",43,53,2008-06-26,-10,131
"GA","Insider Advantage-1",43,44,2008-06-18,-1,139
"GA","Rasmussen-1",41,51,2008-06-04,-10,153
"GA","Rasmussen-1",39,53,2008-05-06,-14,182
"GA","Rasmussen-1",40,53,2008-03-20,-13,229
"GA","SurveyUSA-3",41,54,2008-02-27,-13,251
"GA","Election 2004-1",41,58,2008-01-01,-17,308
"HI","Rasmussen-1",68,27,2008-09-20,41,45
"HI","ARG-6",63,32,2008-09-09,31,56
"HI","SurveyUSA-3",61,31,2008-02-27,30,251
"HI","Election 2004-1",54,45,2008-01-01,9,308
"ID","Research 2000-2",33,62,2008-09-16,-29,49
"ID","Rasmussen-1",29,68,2008-09-09,-39,56
"ID","ARG-3",25,68,2008-09-09,-43,56
"ID","Greg Smith-5",29,52,2008-08-20,-23,76
"ID","Research 2000-3",37,53,2008-07-29,-16,98
"ID","SurveyUSA-3",39,52,2008-02-27,-13,251
"ID","Election 2004-1",30,69,2008-01-01,-39,308
"IL","Rasmussen-1",60,38,2008-11-01,22,3
"IL","Research 2000-4",59,35,2008-10-21,24,14
"IL","U. of Wisconsin-4",61,32,2008-10-20,29,15
"IL","Market Shares-3",56,32,2008-10-17,24,18
"IL","Rasmussen-1",56,39,2008-10-13,17,22
"IL","Rasmussen-1",56,40,2008-09-17,16,48
"IL","Research 2000-4",56,36,2008-09-16,20,49
"IL","U. of Wisconsin-4",53,37,2008-09-15,16,50
"IL","ARG-4",51,45,2008-09-14,6,51
"IL","Rasmussen-1",53,38,2008-08-12,15,84
"IL","Rasmussen-1",50,37,2008-07-08,13,119
"IL","SurveyUSA-3",60,31,2008-02-27,29,251
"IL","Election 2004-1",55,45,2008-01-01,10,308
"IN","Zogby-4",44,49,2008-10-31,-5,4
"IN","ARG-4",48,48,2008-10-29,0,6
"IN","Rasmussen-2",46,49,2008-10-28,-3,7
"IN","SurveyUSA-4",47,47,2008-10-28,0,7
"IN","Selzer-3",46,45,2008-10-27,1,8
"IN","Zogby-4",44,50,2008-10-24,-6,11
"IN","Research 2000-3",48,47,2008-10-24,1,11
"IN","Howey-Gauge-2",45,47,2008-10-23,-2,12
"IN","SurveyUSA-2",49,45,2008-10-21,4,14
"IN","U. of Wisconsin-4",51,41,2008-10-20,10,15
"IN","Rasmussen-1",43,50,2008-10-07,-7,28
"IN","Opinion Research-4",46,51,2008-10-04,-5,31
"IN","Research 2000-5",46,46,2008-10-01,0,34
"IN","Research 2000-3",45,46,2008-09-29,-1,36
"IN","SurveyUSA-2",45,48,2008-09-28,-3,37
"IN","Rasmussen-2",47,49,2008-09-17,-2,48
"IN","ARG-4",44,47,2008-09-16,-3,49
"IN","U. of Wisconsin-4",43,47,2008-09-15,-4,50
"IN","Opinion Research-3",45,51,2008-09-15,-6,50
"IN","Selzer-3",47,44,2008-09-15,3,50
"IN","Howey-Gauge-2",43,45,2008-08-29,-2,67
"IN","Rasmussen-3",42,46,2008-08-20,-4,76
"IN","SurveyUSA-3",44,50,2008-08-17,-6,79
"IN","SurveyUSA-3",48,47,2008-06-22,1,135
"IN","Ind. Legis. Insight-6",38,47,2008-05-29,-9,159
"IN","Research 2000-4",43,51,2008-04-22,-8,196
"IN","Selzer-4",49,41,2008-04-21,8,197
"IN","IPFW U.-3",44,51,2008-04-15,-7,203
"IN","SurveyUSA-3",41,50,2008-02-27,-9,251
"IN","SurveyUSA-2",40,50,2008-02-03,-10,275
"IN","Election 2004-1",39,60,2008-01-01,-21,308
"IA","Selzer-4",54,37,2008-10-29,17,6
"IA","SurveyUSA-2",55,40,2008-10-28,15,7
"IA","Research 2000-3",53,39,2008-10-28,14,7
"IA","Marist Coll.-2",52,42,2008-10-23,10,12
"IA","Rasmussen-1",52,44,2008-10-23,8,12
"IA","Mason-Dixon-2",51,40,2008-10-22,11,13
"IA","U. of Wisconsin-4",52,39,2008-10-20,13,15
"IA","Research 2000-4",54,39,2008-10-20,15,15
"IA","SurveyUSA-2",54,41,2008-10-08,13,27
"IA","Research 2000-2",55,39,2008-09-29,16,36
"IA","Rasmussen-1",51,43,2008-09-25,8,40
"IA","Marist Coll.-4",51,41,2008-09-19,10,46
"IA","ARG-4",51,44,2008-09-18,7,47
"IA","SurveyUSA-2",54,43,2008-09-17,11,48
"IA","Research 2000-3",53,39,2008-09-16,14,49
"IA","U. of Wisconsin-4",45,45,2008-09-15,0,50
"IA","Selzer-3",52,40,2008-09-09,12,56
"IA","Opinion Research-3",55,40,2008-09-01,15,64
"IA","U. of Iowa-10",50,43,2008-08-08,7,88
"IA","Rasmussen-1",46,41,2008-08-07,5,89
"IA","Rasmussen-1",51,41,2008-07-10,10,117
"IA","SurveyUSA-4",49,45,2008-06-14,4,143
"IA","Rasmussen-1",45,38,2008-06-10,7,147
"IA","SurveyUSA-2",47,38,2008-05-21,9,167
"IA","Rasmussen-1",44,42,2008-05-13,2,175
"IA","Research 2000-3",49,41,2008-04-22,8,196
"IA","SurveyUSA-3",49,42,2008-04-12,7,206
"IA","Rasmussen-1",46,42,2008-03-31,4,218
"IA","SurveyUSA-3",50,44,2008-03-15,6,234
"IA","SurveyUSA-3",50,41,2008-02-27,9,251
"IA","Rasmussen-1",44,41,2008-02-18,3,260
"IA","SurveyUSA-3",51,41,2008-02-16,10,262
"IA","Election 2004-1",49,50,2008-01-01,-1,308
"KS","SurveyUSA-2",37,58,2008-10-27,-21,8
"KS","SurveyUSA-2",41,53,2008-10-21,-12,14
"KS","Rasmussen-1",41,54,2008-10-13,-13,22
"KS","SurveyUSA-2",41,53,2008-09-21,-12,44
"KS","Rasmussen-1",38,58,2008-09-18,-20,47
"KS","ARG-4",31,63,2008-09-08,-32,57
"KS","SurveyUSA-3",35,58,2008-08-19,-23,77
"KS","Rasmussen-1",37,52,2008-08-11,-15,85
"KS","Rasmussen-1",32,52,2008-07-14,-20,113
"KS","Rasmussen-1",37,47,2008-06-11,-10,146
"KS","Research 2000-3",40,51,2008-06-03,-11,154
"KS","SurveyUSA-3",39,49,2008-05-17,-10,171
"KS","Rasmussen-1",34,55,2008-05-13,-21,175
"KS","SurveyUSA-3",37,54,2008-04-12,-17,206
"KS","SurveyUSA-3",39,51,2008-03-15,-12,234
"KS","SurveyUSA-3",41,50,2008-02-27,-9,251
"KS","SurveyUSA-3",44,50,2008-02-16,-6,262
"KS","Election 2004-1",37,62,2008-01-01,-25,308
"KY","SurveyUSA-4",40,56,2008-10-30,-16,5
"KY","Rasmussen-1",43,55,2008-10-29,-12,6
"KY","Research 2000-3",39,56,2008-10-28,-17,7
"KY","Mason-Dixon-3",42,51,2008-10-28,-9,7
"KY","Rasmussen-1",44,52,2008-10-21,-8,14
"KY","Research 2000-3",39,55,2008-10-20,-16,15
"KY","SurveyUSA-3",41,54,2008-10-19,-13,16
"KY","Research 2000-3",39,53,2008-10-15,-14,20
"KY","Rasmussen-1",42,52,2008-09-30,-10,35
"KY","Mason-Dixon-4",41,53,2008-09-23,-12,42
"KY","SurveyUSA-2",38,57,2008-09-21,-19,44
"KY","Research 2000-3",37,55,2008-09-16,-18,49
"KY","ARG-5",37,57,2008-09-10,-20,55
"KY","SurveyUSA-3",37,55,2008-08-10,-18,86
"KY","Rasmussen-1",39,49,2008-07-29,-10,98
"KY","Research 2000-3",35,56,2008-07-29,-21,98
"KY","Rasmussen-10",39,49,2008-07-24,-10,103
"KY","Rasmussen-1",35,51,2008-06-25,-16,132
"KY","SurveyUSA-4",41,53,2008-06-14,-12,143
"KY","SurveyUSA-3",32,56,2008-05-17,-24,171
"KY","Research 2000-3",33,58,2008-05-08,-25,180
"KY","SurveyUSA-3",29,63,2008-04-12,-34,206
"KY","SurveyUSA-3",28,64,2008-03-15,-36,234
"KY","SurveyUSA-3",33,54,2008-02-27,-21,251
"KY","SurveyUSA-2",32,61,2008-02-03,-29,275
"KY","Election 2004-1",40,60,2008-01-01,-20,308
"LA","Loyola U.-3",40,43,2008-10-25,-3,10
"LA","Southeastern La. U.-4",38,51,2008-10-21,-13,14
"LA","Rasmussen-1",41,57,2008-10-21,-16,14
"LA","Rasmussen-1",40,55,2008-09-25,-15,40
"LA","ARG-4",43,50,2008-09-10,-7,55
"LA","Rasmussen-1",38,55,2008-08-17,-17,79
"LA","Rasmussen-1",37,56,2008-07-09,-19,118
"LA","Opinion Res.-3",36,52,2008-06-27,-16,130
"LA","Rasmussen-1",41,50,2008-05-28,-9,160
"LA","Rasmussen-1",41,52,2008-04-09,-11,209
"LA","Opinion Res.-15",35,51,2008-04-02,-16,216
"LA","SurveyUSA-3",39,54,2008-02-27,-15,251
"LA","Election 2004-1",42,57,2008-01-01,-15,308
"ME","Rasmussen-1",56,43,2008-11-01,13,3
"ME","SurveyUSA-2",54,39,2008-10-19,15,16
"ME","Critical Insights-4",56,35,2008-10-17,21,18
"ME","Research 2000-2",53,38,2008-10-14,15,21
"ME","Pan Atlantic SMS-4",51,39,2008-10-14,12,21
"ME","Rasmussen-1",51,46,2008-10-02,5,33
"ME","SurveyUSA-2",49,44,2008-09-22,5,43
"ME","Rasmussen-1",50,46,2008-09-17,4,48
"ME","ARG-3",51,41,2008-09-09,10,56
"ME","Research 2000-3",52,38,2008-09-09,14,56
"ME","Rasmussen-1",49,36,2008-08-12,13,84
"ME","Rasmussen-1",46,36,2008-07-17,10,110
"ME","Rasmussen-1",55,33,2008-06-16,22,141
"ME","Pan Atlantic SMS-9",37,26,2008-06-14,11,143
"ME","Critical Insights-27",51,31,2008-06-14,20,143
"ME","Rasmussen-1",51,38,2008-05-14,13,174
"ME","Rasmussen-1",49,39,2008-04-01,10,217
"ME","SurveyUSA-3",53,39,2008-02-27,14,251
"ME","Election 2004-1",53,45,2008-01-01,8,308
"MD","Rasmussen-1",60,37,2008-09-20,23,45
"MD","ARG-3",54,39,2008-09-18,15,47
"MD","Gonzales Research-8",52,38,2008-09-01,14,64
"MD","Rasmussen-1",53,41,2008-08-18,12,78
"MD","SurveyUSA-3",53,40,2008-02-27,13,251
"MD","Gonzales Res.-8",51,37,2008-02-26,14,252
"MD","Election 2004-1",56,43,2008-01-01,13,308
"MA","SurveyUSA-2",56,39,2008-10-27,17,8
"MA","Suffolk U.-3",53,34,2008-10-21,19,14
"MA","SurveyUSA-2",59,35,2008-10-13,24,22
"MA","Rasmussen-1",62,34,2008-10-13,28,22
"MA","Rasmussen-1",58,38,2008-09-23,20,42
"MA","SurveyUSA-2",55,39,2008-09-22,16,43
"MA","ARG-3",55,39,2008-09-21,16,44
"MA","Rasmussen-1",51,36,2008-08-05,15,91
"MA","Suffolk U.-4",47,38,2008-08-01,9,95
"MA","Rasmussen-1",53,33,2008-06-30,20,127
"MA","SurveyUSA-3",53,40,2008-06-26,13,131
"MA","Suffolk U.-3",53,30,2008-06-09,23,148
"MA","Rasmussen-1",51,38,2008-05-29,13,159
"MA","SurveyUSA-3",46,41,2008-05-17,5,171
"MA","Rasmussen-1",51,39,2008-04-23,12,195
"MA","SurveyUSA-3",48,46,2008-04-12,2,206
"MA","Rasmussen-1",49,42,2008-03-18,7,231
"MA","SurveyUSA-3",47,47,2008-03-15,0,234
"MA","SurveyUSA-3",49,42,2008-02-27,7,251
"MA","SurveyUSA-3",48,46,2008-02-16,2,262
"MA","Election 2004-1",62,37,2008-01-01,25,308
"MI","Selzer-4",53,37,2008-10-29,16,6
"MI","Rasmussen-1",53,43,2008-10-28,10,7
"MI","EPIC-MRA-3",50,38,2008-10-27,12,8
"MI","EPIC-MRA-4",51,37,2008-10-20,14,15
"MI","U. of Wisconsin-4",58,36,2008-10-20,22,15
